White paper:

Raw RGBC: (4274, 5397, 4253, 14754); RGB: (136, 128, 110); RRGGBB: (74, 93, 74)
Raw RGBC: (4279, 5402, 4255, 14768); RGB: (136, 128, 110); RRGGBB: (74, 93, 73)
Raw RGBC: (4276, 5397, 4251, 14758); RGB: (136, 128, 110); RRGGBB: (74, 93, 73)
Raw RGBC: (4272, 5394, 4249, 14747); RGB: (136, 128, 110); RRGGBB: (74, 93, 73)
Raw RGBC: (4319, 5444, 4281, 14887); RGB: (136, 130, 113); RRGGBB: (74, 93, 73)
Raw RGBC: (4316, 5441, 4279, 14875); RGB: (136, 130, 113); RRGGBB: (74, 93, 73)
Raw RGBC: (4304, 5428, 4270, 14837); RGB: (136, 128, 113); RRGGBB: (74, 93, 73)
Raw RGBC: (4308, 5432, 4272, 14849); RGB: (136, 130, 113); RRGGBB: (74, 93, 73)
Raw RGBC: (4370, 5498, 4313, 15029); RGB: (137, 129, 112); RRGGBB: (74, 93, 73)
Raw RGBC: (4358, 5489, 4309, 15002); RGB: (137, 129, 112); RRGGBB: (74, 93, 73)
Raw RGBC: (4357, 5487, 4307, 14999); RGB: (137, 129, 112); RRGGBB: (74, 93, 73)
Raw RGBC: (4358, 5487, 4307, 14999); RGB: (137, 129, 112); RRGGBB: (74, 93, 73)
Raw RGBC: (4365, 5494, 4311, 15017); RGB: (137, 129, 112); RRGGBB: (74, 93, 73)
Raw RGBC: (4358, 5487, 4308, 14998); RGB: (137, 129, 112); RRGGBB: (74, 93, 73)
Raw RGBC: (4263, 5388, 4240, 14726); RGB: (138, 129, 112); RRGGBB: (74, 93, 73)
Raw RGBC: (4128, 5251, 4159, 14346); RGB: (135, 129, 111); RRGGBB: (73, 93, 74)
Raw RGBC: (4338, 5467, 4295, 14945); RGB: (137, 129, 112); RRGGBB: (74, 93, 73)


Blue:
Raw RGBC: (5659, 9380, 7734, 23307); RGB: (74, 88, 98)
Raw RGBC: (5662, 9380, 7732, 23311); RGB: (74, 88, 98)
Raw RGBC: (5660, 9379, 7732, 23309); RGB: (74, 88, 98)
Raw RGBC: (5660, 9380, 7734, 23305); RGB: (74, 88, 98)
Raw RGBC: (5658, 9379, 7735, 23307); RGB: (74, 88, 98)
Raw RGBC: (5743, 9500, 7821, 23603); RGB: (75, 89, 99)
Raw RGBC: (5741, 9496, 7818, 23602); RGB: (75, 89, 99)
Raw RGBC: (5740, 9494, 7818, 23594); RGB: (75, 89, 99)
Raw RGBC: (5740, 9493, 7818, 23592); RGB: (75, 89, 99)
Raw RGBC: (5734, 9483, 7807, 23570); RGB: (75, 89, 99)
Raw RGBC: (5713, 9446, 7783, 23485); RGB: (75, 89, 99)

Yellow:
Raw RGBC: (18233, 20367, 8178, 41984); RGB: (239, 191, 104)
Raw RGBC: (18233, 20359, 8175, 41984); RGB: (239, 191, 104)
Raw RGBC: (18232, 20358, 8168, 41984); RGB: (239, 191, 104)
Raw RGBC: (18233, 20361, 8169, 41984); RGB: (239, 191, 104)
Raw RGBC: (18233, 20351, 8168, 41984); RGB: (239, 191, 104)
Raw RGBC: (18233, 20349, 8167, 41984); RGB: (239, 191, 104)
Raw RGBC: (18233, 20350, 8164, 41984); RGB: (239, 191, 104)

Magenta:
Raw RGBC: (9774, 8541, 8769, 27034); RGB: (128, 80, 111)
Raw RGBC: (9775, 8540, 8768, 27034); RGB: (128, 80, 111)
Raw RGBC: (9775, 8541, 8768, 27035); RGB: (128, 80, 111)
Raw RGBC: (9775, 8538, 8768, 27030); RGB: (128, 80, 111)
Raw RGBC: (9773, 8540, 8767, 27036); RGB: (128, 80, 111)
Raw RGBC: (9772, 8536, 8765, 27025); RGB: (128, 80, 111)
Raw RGBC: (9775, 8540, 8766, 27033); RGB: (128, 80, 111)
Raw RGBC: (9775, 8541, 8765, 27033); RGB: (128, 80, 111)
Raw RGBC: (9778, 8544, 8766, 27043); RGB: (128, 80, 111)
Raw RGBC: (9772, 8542, 8765, 27027); RGB: (128, 80, 111)
Raw RGBC: (9774, 8545, 8766, 27039); RGB: (128, 80, 111)

White Paint:
Raw RGBC: (19419, 27128, 20033, 41984); RGB: (247, 309, 243)
Raw RGBC: (19408, 27113, 20014, 41984); RGB: (246, 308, 243)
Raw RGBC: (19429, 27144, 20038, 41984); RGB: (247, 309, 243)
Raw RGBC: (19432, 27144, 20035, 41984); RGB: (247, 309, 243)
Raw RGBC: (19441, 27150, 20046, 41984); RGB: (247, 309, 243)
Raw RGBC: (19441, 27149, 20044, 41984); RGB: (247, 309, 243)
Raw RGBC: (19437, 27148, 20039, 41984); RGB: (247, 309, 243)
Raw RGBC: (19438, 27154, 20045, 41984); RGB: (247, 309, 243)
Raw RGBC: (19436, 27153, 20046, 41984); RGB: (247, 309, 243)
Raw RGBC: (19429, 27149, 20042, 41984); RGB: (247, 309, 243)
Raw RGBC: (19433, 27154, 20046, 41984); RGB: (247, 309, 243)
Raw RGBC: (19427, 27150, 20047, 41984); RGB: (247, 309, 243)
Raw RGBC: (19434, 27161, 20050, 41984); RGB: (247, 309, 244)
